date,state,district,age_0_5,age_5_17,age_18_greater
2025-01-04,Assam,Baksa,408,483,187
2025-01-04,Assam,Barpeta,138,54,23
2025-01-04,Assam,Biswanath,104,114,32
2025-01-04,Assam,Bongaigaon,221,87,61
2025-01-04,Assam,Cachar,988,461,299
2025-01-04,Assam,Charaideo,91,50,164
2025-01-04,Assam,Chirang,189,199,179
2025-01-04,Assam,Darrang,654,340,270
2025-01-04,Assam,Dhemaji,179,176,52
2025-01-04,Assam,Dhubri,998,654,80
2025-01-04,Assam,Dibrugarh,179,149,186
2025-01-04,Assam,Goalpara,587,294,283
2025-01-04,Assam,Golaghat,568,501,144
2025-01-04,Assam,Hailakandi,242,143,78
2025-01-04,Assam,Hojai,763,253,100
2025-01-04,Assam,Jorhat,210,156,154
2025-01-04,Assam,Kamrup,741,404,179
2025-01-04,Assam,Kamrup Metro,276,396,213
2025-01-04,Assam,Karbi Anglong,543,1030,323
2025-01-04,Assam,Karimganj,508,426,91
2025-01-04,Assam,Kokrajhar,301,238,25
2025-01-04,Assam,Lakhimpur,400,221,93
2025-01-04,Assam,Marigaon,540,457,96
2025-01-04,Assam,Nagaon,504,236,36
2025-01-04,Assam,Nalbari,55,49,77
2025-01-04,Assam,North Cachar Hills,130,179,99
2025-01-04,Assam,Sibsagar,220,83,276
2025-01-04,Assam,Sonitpur,138,169,65
2025-01-04,Assam,South Salmara Mankachar,176,102,30
2025-01-04,Assam,Tinsukia,339,391,261
2025-01-04,Assam,Udalguri,447,364,319
2025-01-04,Assam,West Karbi Anglong,94,344,45
2025-01-04,Bihar,Bhagalpur,678,534,26
2025-01-04,Bihar,East Champaran,1528,2371,153
2025-01-04,Bihar,Gaya,437,1371,54
2025-01-04,Bihar,Jamui,1015,647,30
2025-01-04,Bihar,Jehanabad,78,292,48
2025-01-04,Bihar,Kaimur (Bhabua),146,199,12
2025-01-04,Bihar,Madhubani,388,485,60
2025-01-04,Bihar,Munger,191,278,22
2025-01-04,Bihar,Muzaffarpur,1159,865,65
2025-01-04,Bihar,Patna,723,2303,373
2025-01-04,Bihar,Purnia,517,276,21
2025-01-04,Bihar,Saran,143,174,10
2025-01-04,Bihar,Sitamarhi,2452,1625,487
2025-01-04,Bihar,Vaishali,270,217,10
2025-01-04,Bihar,West Champaran,2826,3724,159
2025-01-04,Chandigarh,Chandigarh,86,21,10
2025-01-04,Chhattisgarh,Bijapur,397,135,126
2025-01-04,Chhattisgarh,Durg,336,38,10
2025-01-04,Chhattisgarh,Raipur,299,12,11
2025-01-04,Chhattisgarh,Sukma,267,69,45
2025-01-04,Delhi,Central Delhi,80,41,12
2025-01-04,Delhi,East Delhi,676,221,15
2025-01-04,Delhi,North West Delhi,903,349,54
2025-01-04,Delhi,Shahdara,208,98,13
2025-01-04,Delhi,South Delhi,404,137,22
2025-01-04,Delhi,South West Delhi,558,209,58
2025-01-04,Delhi,West Delhi,1249,440,183
2025-01-04,Gujarat,Ahmedabad,77,26,19
2025-01-04,Gujarat,Amreli,174,21,43
2025-01-04,Gujarat,Anand,136,30,75
2025-01-04,Gujarat,Arvalli,144,32,30
2025-01-04,Gujarat,Banaskantha,1685,1358,1001
2025-01-04,Gujarat,Bharuch,138,50,23
2025-01-04,Gujarat,Bhavnagar,567,36,25
2025-01-04,Gujarat,Botad,291,21,20
2025-01-04,Gujarat,Chhotaudepur,242,121,119
2025-01-04,Gujarat,Dahod,855,782,434
2025-01-04,Gujarat,Devbhumi Dwarka,186,44,54
2025-01-04,Gujarat,Gandhinagar,495,138,156
2025-01-04,Gujarat,Gir Somnath,1262,265,179
2025-01-04,Gujarat,Jamnagar,240,43,33
2025-01-04,Gujarat,Junagadh,250,27,12
2025-01-04,Gujarat,Kachchh,587,242,78
2025-01-04,Gujarat,Kheda,425,80,150
2025-01-04,Gujarat,Mahesana,433,55,65
2025-01-04,Gujarat,Mahisagar,110,12,16
2025-01-04,Gujarat,Morbi,818,178,175
2025-01-04,Gujarat,Navsari,133,10,33
2025-01-04,Gujarat,Panchmahals,574,145,183
2025-01-04,Gujarat,Patan,800,173,225
2025-01-04,Gujarat,Porbandar,267,38,44
2025-01-04,Gujarat,Rajkot,1398,338,231
2025-01-04,Gujarat,Sabarkantha,389,197,110
2025-01-04,Gujarat,Surat,2932,976,280
2025-01-04,Gujarat,Surendra Nagar,436,159,91
2025-01-04,Gujarat,Tapi,68,12,13
2025-01-04,Gujarat,The Dangs,85,13,22
2025-01-04,Gujarat,Vadodara,788,216,180
2025-01-04,Gujarat,Valsad,618,186,100
2025-01-04,Haryana,Faridabad,1291,290,25
2025-01-04,Haryana,Gurgaon,494,192,36
2025-01-04,Jammu and Kashmir,Punch,142,59,10
2025-01-04,Jharkhand,Deoghar,371,342,10
2025-01-04,Jharkhand,Dumka,34,32,23
2025-01-04,Jharkhand,East Singhbhum,55,54,11
