state,district,enrolment_bin,lifecycle_typology,child_bio_engagement,adult_bio_engagement,adult_demo_engagement,lifecycle_gap_score
Andaman & Nicobar Islands,Andamans,Low Enrolment,Healthy lifecycle engagement,115.5,,,0
Andaman and Nicobar Islands,Nicobar,Low Enrolment,Healthy lifecycle engagement,164.8,,,0
Andaman and Nicobar Islands,North And Middle Andaman,Low Enrolment,Healthy lifecycle engagement,2830.0,,,0
Andaman and Nicobar Islands,South Andaman,Low Enrolment,Healthy lifecycle engagement,1298.25,,,0
Andhra Pradesh,Adilabad,Medium Enrolment,Healthy lifecycle engagement,81.0,,,0
Andhra Pradesh,Alluri Sitharama Raju,Low Enrolment,Healthy lifecycle engagement,148.15555555555557,541.0714285714286,540.9285714285714,0
Andhra Pradesh,Anakapalli,Low Enrolment,Healthy lifecycle engagement,2640.0,2391.0,7399.0,0
Andhra Pradesh,Anantapur,Medium Enrolment,Healthy lifecycle engagement,234.68421052631578,,,0
Andhra Pradesh,Ananthapur,Medium Enrolment,Healthy lifecycle engagement,1196.5217391304348,,,0
Andhra Pradesh,Ananthapuramu,Medium Enrolment,Healthy lifecycle engagement,1990.0,3027.2,6649.0,0
Andhra Pradesh,Annamayya,Low Enrolment,Healthy lifecycle engagement,432.6,71.97619047619048,516.8333333333334,0
Andhra Pradesh,Bapatla,Low Enrolment,Healthy lifecycle engagement,203.92307692307693,273.0,1351.3333333333333,0
Andhra Pradesh,Chittoor,High Enrolment,Healthy lifecycle engagement,614.405529953917,5888.0,9431.09090909091,0
Andhra Pradesh,Cuddapah,Medium Enrolment,Healthy lifecycle engagement,637.4166666666666,42353.0,44271.0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Low Enrolment,Healthy lifecycle engagement,270.6,284.5,964.625,0
Andhra Pradesh,East Godavari,High Enrolment,Healthy lifecycle engagement,992.0126582278481,15394.6,18647.4,0
Andhra Pradesh,Eluru,Low Enrolment,Healthy lifecycle engagement,215.53333333333333,654.6,1825.2,0
Andhra Pradesh,Guntur,High Enrolment,Healthy lifecycle engagement,489.9709677419355,9096.444444444445,12348.777777777777,0
Andhra Pradesh,Hyderabad,Medium Enrolment,Healthy lifecycle engagement,49.39481268011527,,,0
Andhra Pradesh,K.V.Rangareddy,Low Enrolment,Healthy lifecycle engagement,21.25,,,0
