state,district,enrolment_bin,risk_pathway,lifecycle_typology,demo_deviation,lifecycle_gap_score,total_update_ratio
Andaman & Nicobar Islands,Andamans,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.6385542168674696,0,125.93333333333334
Andaman and Nicobar Islands,Nicobar,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.965440710209258,0,55.89473684210526
Andaman and Nicobar Islands,North And Middle Andaman,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.7629702483402998,0,134.16326530612244
Andaman and Nicobar Islands,South Andaman,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,2.0438898450946645,0,179.85714285714286
Andhra Pradesh,Adilabad,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.4140060668260996,0,91.02595155709342
Andhra Pradesh,Alluri Sitharama Raju,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.4481389244127345,0,63.82122905027933
Andhra Pradesh,Anakapalli,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.562220911618501,0,94.31468531468532
Andhra Pradesh,Anantapur,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.580619518475283,0,81.13439306358381
Andhra Pradesh,Ananthapur,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.824720975572201,0,167.9431818181818
Andhra Pradesh,Ananthapuramu,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.5124012549448045,0,154.47139588100686
Andhra Pradesh,Annamayya,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,5.023448223272838,0,106.64556962025316
Andhra Pradesh,Bapatla,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.091652323580035,0,98.55714285714286
Andhra Pradesh,Chittoor,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.263398714981999,0,128.62289831865493
Andhra Pradesh,Cuddapah,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.42353562527905,0,100.0243638332431
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.5237488415199256,0,65.84615384615384
Andhra Pradesh,East Godavari,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.7205530679511214,0,138.94296265900698
Andhra Pradesh,Eluru,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.094436569808646,0,83.25980392156863
Andhra Pradesh,Guntur,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.8866017479448174,0,128.5377189846264
Andhra Pradesh,Hyderabad,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6767598451620477,0,65.83074935400516
Andhra Pradesh,K.V.Rangareddy,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.5166821130676552,0,21.423076923076923
Andhra Pradesh,Kakinada,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.115711994736626,0,98.33447098976109
Andhra Pradesh,Karim Nagar,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.1983648881239242,0,60.17857142857143
Andhra Pradesh,Karimnagar,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.239843093303446,0,67.24806201550388
Andhra Pradesh,Krishna,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.7215885161553834,0,117.1737556561086
Andhra Pradesh,Kurnool,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.1508406699353624,0,113.9105579868709
Andhra Pradesh,Mahabub Nagar,Medium Enrolment,Stable / Monitor Zone,Mixed or transitional pattern,0.526486839120785,1,22.46276595744681
Andhra Pradesh,Mahbubnagar,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.191380908248378,0,58.51538461538462
Andhra Pradesh,N. T. R,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,5.932666837563017,0,136.95390070921985
Andhra Pradesh,Nalgonda,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.9774573406749163,0,81.73529411764706
Andhra Pradesh,Nandyal,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.740768126658257,0,107.92418772563175
Andhra Pradesh,Nellore,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.1857683019818075,0,95.11404011461318
Andhra Pradesh,Nizamabad,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.9701790587765424,0,58.41436464088398
Andhra Pradesh,Palnadu,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.740988244475878,0,111.52631578947368
Andhra Pradesh,Parvathipuram Manyam,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.3110275496892028,0,93.56050955414013
Andhra Pradesh,Prakasam,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.37918112935041,0,89.75783783783784
Andhra Pradesh,Rangareddi,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.994876660757712,0,85.14779874213836
Andhra Pradesh,Sri Potti Sriramulu Nellore,Medium Enrolment,Stable / Monitor Zone,"Child engagement strong, adult drop-off",1.313023369476991,1,38.36013986013986
Andhra Pradesh,Sri Sathya Sai,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.6548604054773306,0,93.1285140562249
Andhra Pradesh,Srikakulam,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.604996269049273,0,178.24335664335663
Andhra Pradesh,Vizianagaram,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.3216798599582216,0,151.06454316848283
Andhra Pradesh,Warangal,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.9300494360735323,0,143.72727272727272
Andhra Pradesh,West Godavari,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.4888477018592847,0,143.586301369863
Andhra Pradesh,Y. S. R,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.692593905031892,0,102.58088235294116
Arunachal Pradesh,Anjaw,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.874557051736357,0,88.0
Arunachal Pradesh,Changlang,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.5681521265786035,0,25.674698795180724
Arunachal Pradesh,Dibang Valley,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.7269076305220885,0,147.0
Arunachal Pradesh,East Kameng,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.7125376506024096,0,63.71875
Arunachal Pradesh,East Siang,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.2660988782717075,0,62.6551724137931
Arunachal Pradesh,Kamle,Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",0.885896527285613,1,21.88235294117647
